timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1503756254372,183,HTTP Request,200,,Thread Group 1-230,text,true,,39241,197,239,239,183,0,39
1503756254381,175,HTTP Request,200,,Thread Group 1-660,text,true,,39241,197,239,239,175,0,1
1503756254362,194,HTTP Request,200,,Thread Group 1-647,text,true,,39241,197,239,239,193,0,1
1503756254386,170,HTTP Request,200,,Thread Group 1-664,text,true,,39241,197,239,239,170,0,1
1503756254372,185,HTTP Request,200,,Thread Group 1-644,text,true,,39241,197,239,239,185,0,1
1503756254331,226,HTTP Request,200,,Thread Group 1-236,text,true,,39241,197,239,239,12,0,1
1503756254376,181,HTTP Request,200,,Thread Group 1-657,text,true,,39241,197,239,239,181,0,1
1503756254358,199,HTTP Request,200,,Thread Group 1-645,text,true,,39241,197,239,239,199,0,1
1503756254356,202,HTTP Request,200,,Thread Group 1-643,text,true,,39241,197,239,239,202,0,1
1503756254375,183,HTTP Request,200,,Thread Group 1-655,text,true,,39241,197,239,239,183,0,1
1503756254387,171,HTTP Request,200,,Thread Group 1-665,text,true,,39241,197,239,239,171,0,1
1503756254379,179,HTTP Request,200,,Thread Group 1-659,text,true,,39241,197,239,239,179,0,1
1503756254289,266,HTTP Request,200,,Thread Group 1-266,text,true,,39241,197,239,239,266,0,7
1503756254382,177,HTTP Request,200,,Thread Group 1-661,text,true,,39241,197,239,239,177,0,1
1503756254386,173,HTTP Request,200,,Thread Group 1-663,text,true,,39241,197,239,239,173,0,1
1503756254377,182,HTTP Request,200,,Thread Group 1-656,text,true,,39241,197,239,239,182,0,1
1503756254392,168,HTTP Request,200,,Thread Group 1-667,text,true,,39241,197,239,239,167,0,2
1503756254376,184,HTTP Request,200,,Thread Group 1-652,text,true,,39241,197,239,239,183,0,0
1503756254369,191,HTTP Request,200,,Thread Group 1-651,text,true,,39241,197,239,239,190,0,1
1503756254454,113,HTTP Request,200,,Thread Group 1-695,text,true,,39241,197,242,242,113,0,106
1503756254562,10,HTTP Request,200,,Thread Group 1-235,text,true,,39241,197,249,249,10,0,1
1503756254564,11,HTTP Request,200,,Thread Group 1-773,text,true,,39241,197,251,251,11,0,1
1503756254564,14,HTTP Request,200,,Thread Group 1-771,text,true,,39241,197,251,251,13,0,1
1503756254563,16,HTTP Request,200,,Thread Group 1-772,text,true,,39241,197,250,250,14,0,1
1503756254561,18,HTTP Request,200,,Thread Group 1-237,text,true,,39241,197,250,250,18,0,1
1503756254566,14,HTTP Request,200,,Thread Group 1-239,text,true,,39241,197,249,249,14,0,2
1503756254567,15,HTTP Request,200,,Thread Group 1-776,text,true,,39241,197,248,248,14,0,1
1503756254569,13,HTTP Request,200,,Thread Group 1-245,text,true,,39241,197,247,247,12,0,0
1503756254574,20,HTTP Request,200,,Thread Group 1-204,text,true,,39241,197,251,251,20,0,0
1503756254570,27,HTTP Request,200,,Thread Group 1-251,text,true,,39241,197,251,251,26,0,1
1503756254569,34,HTTP Request,200,,Thread Group 1-243,text,true,,39241,197,251,251,33,0,0
1503756254570,35,HTTP Request,200,,Thread Group 1-201,text,true,,39241,197,252,252,35,0,1
1503756254571,35,HTTP Request,200,,Thread Group 1-247,text,true,,39241,197,251,251,34,0,1
1503756254576,30,HTTP Request,200,,Thread Group 1-781,text,true,,39241,197,251,251,29,0,1
1503756254572,35,HTTP Request,200,,Thread Group 1-777,text,true,,39241,197,250,250,35,0,1
1503756254571,39,HTTP Request,200,,Thread Group 1-249,text,true,,39241,197,253,253,39,0,1
