timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1503756327989,97,HTTP Request,200,,Thread Group 1-540,text,true,,139284,196,198,198,94,0,2
1503756326613,1473,HTTP Request,200,,Thread Group 1-16,text,true,,139284,196,197,197,1338,0,12
1503756326614,1473,HTTP Request,200,,Thread Group 1-14,text,true,,139284,196,196,196,1361,0,10
1503756327912,177,HTTP Request,200,,Thread Group 1-625,text,true,,139284,196,195,195,174,0,1
1503756326627,1463,HTTP Request,200,,Thread Group 1-24,text,true,,139284,196,194,194,1346,0,1
1503756327915,176,HTTP Request,200,,Thread Group 1-605,text,true,,139284,196,193,193,175,0,1
1503756328009,83,HTTP Request,200,,Thread Group 1-536,text,true,,139284,196,192,192,79,0,1
1503756326698,1394,HTTP Request,200,,Thread Group 1-82,text,true,,139284,196,191,191,1253,0,1
1503756328035,59,HTTP Request,200,,Thread Group 1-535,text,true,,139284,196,190,190,56,0,1
1503756327990,104,HTTP Request,200,,Thread Group 1-541,text,true,,139284,196,190,190,101,0,1
1503756327914,182,HTTP Request,200,,Thread Group 1-613,text,true,,139284,196,188,188,180,0,1
1503756327964,133,HTTP Request,200,,Thread Group 1-573,text,true,,139284,196,187,187,131,0,0
1503756327902,195,HTTP Request,200,,Thread Group 1-563,text,true,,139284,196,187,187,193,0,1
1503756327950,150,HTTP Request,200,,Thread Group 1-589,text,true,,139284,196,185,185,148,0,1
1503756327915,187,HTTP Request,200,,Thread Group 1-601,text,true,,139284,196,184,184,183,0,1
1503756327957,152,HTTP Request,200,,Thread Group 1-581,text,true,,139284,196,183,183,150,0,1
1503756326715,1396,HTTP Request,200,,Thread Group 1-72,text,true,,139284,196,182,182,1187,0,1
1503756327912,202,HTTP Request,200,,Thread Group 1-621,text,true,,139284,196,181,181,199,0,2
1503756326602,1513,HTTP Request,200,,Thread Group 1-8,text,true,,139284,196,180,180,1311,0,28
1503756326723,1394,HTTP Request,200,,Thread Group 1-88,text,true,,139284,196,179,179,1189,0,1
1503756326681,1438,HTTP Request,200,,Thread Group 1-39,text,true,,139284,196,178,178,1233,0,1
1503756327969,152,HTTP Request,200,,Thread Group 1-557,text,true,,139284,196,177,177,150,0,1
1503756326609,1513,HTTP Request,200,,Thread Group 1-13,text,true,,139284,196,176,176,1364,0,19
1503756327916,207,HTTP Request,200,,Thread Group 1-597,text,true,,139284,196,175,175,203,0,0
1503756326778,1350,HTTP Request,200,,Thread Group 1-139,text,true,,139284,196,174,174,1129,0,1
1503756326666,1462,HTTP Request,200,,Thread Group 1-45,text,true,,139284,196,174,174,1245,0,0
1503756328078,51,HTTP Request,200,,Thread Group 1-533,text,true,,139284,196,172,172,49,0,1
1503756328078,54,HTTP Request,200,,Thread Group 1-528,text,true,,139284,196,171,171,52,0,2
1503756328079,57,HTTP Request,200,,Thread Group 1-524,text,true,,139284,196,170,170,55,0,1
1503756326749,1388,HTTP Request,200,,Thread Group 1-113,text,true,,139284,196,169,169,1202,0,2
1503756326690,1449,HTTP Request,200,,Thread Group 1-75,text,true,,139284,196,168,168,1298,0,1
1503756326761,1379,HTTP Request,200,,Thread Group 1-125,text,true,,139284,196,167,167,1143,0,1
1503756328080,63,HTTP Request,200,,Thread Group 1-529,text,true,,139284,196,166,166,61,0,1
1503756326757,1388,HTTP Request,200,,Thread Group 1-121,text,true,,139284,196,165,165,1206,0,1
1503756326640,1506,HTTP Request,200,,Thread Group 1-32,text,true,,139284,196,164,164,1322,0,1
1503756326703,1443,HTTP Request,200,,Thread Group 1-87,text,true,,139284,196,164,164,1324,0,1
1503756326680,1479,HTTP Request,200,,Thread Group 1-38,text,true,,139284,196,169,169,1274,0,1
1503756326881,1279,HTTP Request,200,,Thread Group 1-193,text,true,,139284,196,169,169,105,0,1
1503756326674,1494,HTTP Request,200,,Thread Group 1-42,text,true,,139284,196,181,181,1307,0,1
1503756327991,264,HTTP Request,200,,Thread Group 1-538,text,true,,139284,196,194,194,143,0,2
1503756328050,206,HTTP Request,200,,Thread Group 1-530,text,true,,139284,196,193,193,85,0,1
1503756327977,280,HTTP Request,200,,Thread Group 1-551,text,true,,139284,196,192,192,143,0,1
1503756328078,179,HTTP Request,200,,Thread Group 1-526,text,true,,139284,196,191,191,73,0,3
1503756328080,178,HTTP Request,200,,Thread Group 1-522,text,true,,139284,196,190,190,72,0,1
1503756326765,1495,HTTP Request,200,,Thread Group 1-116,text,true,,139284,196,189,189,1138,0,1
